Date,Value,temp
1/1/2018,803223,5.4
1/2/2018,938756,6.8
1/3/2018,954048,6.6
1/4/2018,975697,7.9
1/5/2018,980272,4.5
1/6/2018,932129,2.1
1/7/2018,915470,2.5
1/8/2018,1040300,1.6
1/9/2018,1038575,4
1/10/2018,1004965,5.1
1/11/2018,1009012,3.1
1/12/2018,1012875,4.5
1/13/2018,918965,5.5
1/14/2018,908515,5.6
1/15/2018,974099,6.3
1/16/2018,1007289,4.4
1/17/2018,1022838,5.5
1/18/2018,1018884,4.5
1/19/2018,1018352,2.7
1/20/2018,949654,1.5
1/21/2018,955158,4.4
1/22/2018,977383,5.1
1/23/2018,958615,9.1
1/24/2018,959914,9.8
1/25/2018,971546,6.4
1/26/2018,976178,5.1
1/27/2018,887239,6.2
1/28/2018,844297,8.9
1/29/2018,929138,9.3
1/30/2018,982255,4
1/31/2018,974887,4.2
2/1/2018,994790,4.1
2/2/2018,978038,4.4
2/3/2018,942449,2.5
2/4/2018,910634,3.1
2/5/2018,1023486,2
2/6/2018,1031807,1
2/7/2018,1021917,0.6
2/8/2018,991281,2.4
2/9/2018,994536,3.4
2/10/2018,930489,4.1
2/11/2018,886912,3.1
2/12/2018,999354,2.7
2/13/2018,1007991,3.1
2/14/2018,1021099,2.5
2/15/2018,971337,5
2/16/2018,974998,4.4
2/17/2018,888204,5.4
2/18/2018,887747,5.4
2/19/2018,950854,7.9
2/20/2018,929848,7.5
2/21/2018,978813,4.9
2/22/2018,1000326,2.6
2/23/2018,1012960,1.2
2/24/2018,915086,2.1
2/25/2018,917092,1.5
2/26/2018,1033286,-0.3
2/27/2018,1016208,-1.2
2/28/2018,1021261,-3.6
3/1/2018,1085514,-3.8
3/2/2018,1084899,-2.3
3/3/2018,1004709,0.3
3/4/2018,954567,3.4
3/5/2018,1010126,5.9
3/6/2018,990724,5.9
3/7/2018,991347,5.4
3/8/2018,981056,5
3/9/2018,973339,5.3
3/10/2018,869060,8.1
3/11/2018,832431,7.7
3/12/2018,945493,7
3/13/2018,951253,7.2
3/14/2018,932089,6.6
3/15/2018,923419,8.5
3/16/2018,902428,8.9
3/17/2018,902422,0.7
3/18/2018,938013,-1.1
3/19/2018,1015367,1.7
3/20/2018,1008062,3.9
3/21/2018,956427,3.8
3/22/2018,895449,6.5
3/23/2018,881461,8.2
3/24/2018,855528,7.1
3/25/2018,786928,7.4
3/26/2018,903349,6.4
3/27/2018,917164,8.1
3/28/2018,934888,6.3
3/29/2018,927715,4.3
3/30/2018,864594,5.2
3/31/2018,823486,5.3
4/1/2018,818517,5
4/2/2018,843467,6.3
4/3/2018,885624,9.7
4/4/2018,910231,8.7
4/5/2018,898968,6.2
4/6/2018,868263,9.6
4/7/2018,800662,9.9
4/8/2018,783483,8.7
4/9/2018,880851,8.2
4/10/2018,906597,8.4
4/11/2018,902851,7
4/12/2018,915689,6.6
4/13/2018,895370,8.6
4/14/2018,801101,11.5
4/15/2018,787948,10.7
4/16/2018,846635,11
4/17/2018,828569,13.1
4/18/2018,827799,17
4/19/2018,812694,17.6
4/20/2018,802983,14.5
4/21/2018,723880,14.2
4/22/2018,704460,14.4
4/23/2018,781669,10.5
4/24/2018,818810,11.5
4/25/2018,822666,9.6
4/26/2018,809982,9.1
4/27/2018,847275,7
4/28/2018,787911,6.9
4/29/2018,766533,6.5
4/30/2018,857937,7.1
5/1/2018,852709,7.7
5/2/2018,845529,10
5/3/2018,841896,9.1
5/4/2018,813759,13.2
5/5/2018,728781,13.9
5/6/2018,684494,15.3
5/7/2018,710555,16.9
5/8/2018,801515,14.5
5/9/2018,807662,11.5
5/10/2018,801618,11.1
5/11/2018,785755,10
5/12/2018,745635,9.6
5/13/2018,725133,11.7
5/14/2018,778518,11.4
5/15/2018,787806,13.7
5/16/2018,776063,12
5/17/2018,801688,9.6
5/18/2018,793530,9.9
5/19/2018,701419,12.5
5/20/2018,689588,13.9
5/21/2018,789092,15
5/22/2018,774533,14.9
5/23/2018,795873,13.5
5/24/2018,811066,14.4
5/25/2018,798344,13.3
5/26/2018,691425,17.3
5/27/2018,655874,18.2
5/28/2018,688254,17.9
5/29/2018,764272,15.3
5/30/2018,779267,15.2
5/31/2018,778863,17.9
6/1/2018,781298,19
6/2/2018,716474,17.5
6/3/2018,698404,17.7
6/4/2018,791752,15.9
6/5/2018,783329,13.9
6/6/2018,784425,13.5
6/7/2018,788548,14.3
6/8/2018,776827,15.1
6/9/2018,697706,15.4
6/10/2018,695794,16.3
6/11/2018,769523,16.4
6/12/2018,786567,14.2
6/13/2018,776556,14
6/14/2018,737192,16.4
6/15/2018,765283,13.8
6/16/2018,707967,14.2
6/17/2018,685950,14.4
6/18/2018,762696,16.6
6/19/2018,782869,17.5
6/20/2018,761896,17.4
6/21/2018,748199,12.8
6/22/2018,747167,13.2
6/23/2018,683199,13.9
6/24/2018,668352,15.7
6/25/2018,771438,18.2
6/26/2018,791002,20.1
6/27/2018,778540,18.6
6/28/2018,757152,18.7
6/29/2018,765651,19.1
6/30/2018,704970,18.9
7/1/2018,699355,20.4
7/2/2018,773513,20.5
7/3/2018,778503,18
7/4/2018,784057,18.2
7/5/2018,812610,20.4
7/6/2018,784492,19.7
7/7/2018,733329,20.3
7/8/2018,718065,20.4
7/9/2018,814616,20.1
7/10/2018,809533,18.1
7/11/2018,800724,17.5
7/12/2018,803728,18
7/13/2018,789997,18.6
7/14/2018,721467,19.2
7/15/2018,709450,19.4
7/16/2018,807471,19.5
7/17/2018,800437,16.2
7/18/2018,803869,17.3
7/19/2018,810107,18.5
7/20/2018,785962,17.8
7/21/2018,713394,18.4
7/22/2018,699161,20.1
7/23/2018,807650,21.9
7/24/2018,801431,20.7
7/25/2018,801866,19.6
7/26/2018,811070,22.2
7/27/2018,784048,22.5
7/28/2018,643150,17.5
7/29/2018,625308,16.6
7/30/2018,761162,17.6
7/31/2018,772925,17.9
8/1/2018,763934,17.3
8/2/2018,774280,20.2
8/3/2018,767893,20.5
8/4/2018,710433,19.8
8/5/2018,691251,19.3
8/6/2018,749104,19.9
8/7/2018,764718,19.3
8/8/2018,775453,16.6
8/9/2018,782156,15.1
8/10/2018,758819,13.6
8/11/2018,699385,14
8/12/2018,679455,17.3
8/13/2018,771748,18.4
8/14/2018,767561,16.9
8/15/2018,773695,18.4
8/16/2018,774765,16.8
8/17/2018,764625,14.9
8/18/2018,679002,17.7
8/19/2018,676512,19.1
8/20/2018,765544,18.8
8/21/2018,771175,19.7
8/22/2018,771620,18
8/23/2018,764735,15.1
8/24/2018,743001,13.1
8/25/2018,677887,12.5
8/26/2018,683497,12.6
8/27/2018,639544,14.3
8/28/2018,756407,15.1
8/29/2018,769924,15
8/30/2018,775676,12.4
8/31/2018,759297,14.1
9/1/2018,701883,16
9/2/2018,685213,18.4
9/3/2018,751991,16.4
9/4/2018,754141,14.5
9/5/2018,766939,14.9
9/6/2018,767408,12.9
9/7/2018,751426,11.4
9/8/2018,701669,12.7
9/9/2018,666162,16.5
9/10/2018,747484,15.4
9/11/2018,745306,16.2
9/12/2018,783703,12.7
9/13/2018,753391,12.1
9/14/2018,748897,13.7
9/15/2018,726412,14.3
9/16/2018,650068,15.9
9/17/2018,762809,18.1
9/18/2018,747498,17.5
9/19/2018,747883,17.7
